SYMBOL,NAME,PRICE(USD)
BTC,Bitcoin,19551.7573349886725385
ETH,Ethereum,1327.4250215458156583
USDT,Tether,1.0007231159173512
BNB,BNB,275.2378103405078029
USDC,USD Coin,1.0004014724499830
BUSD,Binance USD,1.0010039270109153
XRP,XRP,0.4738101150422375
ADA,Cardano,0.3714413273866222
SOL,Solana,30.8296108226191153
LUNA,Terra,2.6286894240676789
DOGE,Dogecoin,0.0596404400247591
MATIC,Polygon,0.8361919692770591
DOT,Polkadot,6.2257071658147368
DAI,Multi Collateral DAI,1.0006931981104363
TRX,TRON,0.0628542143560065
SHIB,Shiba Inu,0.0000103240441570
UNI,Uniswap,6.4005054806676390
WBTC,Wrapped Bitcoin,19556.9959822061050022
AVAX,Avalanche,16.0685426804361827
STETH,Lido Staked ETH,1295.9467656263442015
LEO,UNUS SED LEO,4.4934788161355942
LTC,Litecoin,51.7899841877158520
LINK,Chainlink,7.2402999572646960
ETC,Ethereum Classic,23.7263318896015916
FTT,FTX Token,24.0904869708050457
ATOM,Cosmos,12.3389480594481796
XLM,Stellar,0.1140403600790443
CRO,Crypto.com Coin,0.1100610507066726
XMR,Monero,144.4595680742639079
NEAR,NEAR Protocol,3.0317821357336188
ALGO,Algorand,0.3297882383766017
QNT,Quant,191.5792263451579018
BCH,Bitcoin Cash,110.1531719025812279
BTCB,Bitcoin BEP2,19538.2153141506836598
VET,VeChain,0.0231503881215050
FLOW,Flow,1.5314519915407031
FIL,Filecoin,5.2460645355906141
FRAX,Frax,1.0016813087078886
ICP,Internet Computer,5.0676655340722020
EGLD,Elrond,56.3533574256806574
XTZ,Tezos,1.3837369233719541
HT,Huobi Token,7.9252897815741030
MANA,Decentraland,0.6447337858273898
SAND,The Sandbox,0.7844414580172317
AAVE,Aave,79.2623914308692159
CHZ,Chiliz,0.1849152959131848
MKR,Maker,1110.4230585081890419
EOS,EOS,1.0534582247747812
THETA,THETA,1.0073344077338211
OKB,OKB,16.7357871105948642
KCS,KuCoin Token,9.8745082237806356
BSV,Bitcoin SV,48.8058995848742793
USDP,Pax Dollar,0.9863126517384367
AXS,Axie Infinity,11.1501312547382343
HBAR,Hedera Hashgraph,0.0619954334197640
TUSD,TrueUSD,1.0009177275940238
ZEC,Zcash,53.2831658048112177
XEC,eCash,0.0000379777516647
MIOTA,IOTA,0.2553373684816746
CAKE,PancakeSwap,4.6261673533285196
GRT,The Graph,0.0866282006835812
HNT,Helium,4.5442970290155652
NEO,Neo,8.0021900156653787
SNX,Synthetix,2.3228864183497292
FTM,Fantom,0.2102246384493305
PAXG,PAX Gold,1644.4094733083955492
RUNE,THORChain,1.5282435243374619
CSPR,Casper,0.0476674556879436
NEXO,Nexo,0.8832896052083875
GT,GateToken,4.4557623764754065
CRV,Curve DAO Token,0.8921825633649859
LDO,Lido DAO,1.4772088170539759
DASH,Dash,41.8343708638219334
TWT,Trust Wallet Token,1.0933760810847815
KLAY,Klaytn,0.1431735645306835
ENJ,Enjin Coin,0.4354700786242877
BAT,Basic Attention Token,0.2878496845537534
ZIL,Zilliqa,0.0311437068099592
STX,Stacks,0.3102923018272279
MINA,Mina,0.5673835124604605
KAVA,Kava,1.4136802712115050
COMP,Compound,54.5009088022327804
FEI,Fei Protocol,0.9283069925471570
DCR,Decred,27.1466698320543600
WAVES,Waves,3.5083690076320213
CVX,Convex Finance,5.5986986092061085
USTC,TerraClassicUSD,0.0382145299775303
XDC,XinFin Network,0.0302876969401718
RVN,Ravencoin,0.0311956315613949
1INCH,1inch Network,0.5734060742808990
CELO,Celo,0.7520419817182903
XEM,NEM,0.0389918604697539
LRC,Loopring,0.2625339752287427
HOT,Holo,0.0020048162148176
AR,Arweave,10.0088639233514767
BTG,Bitcoin Gold,18.4848350653923686
KSM,Kusama,37.7614911731186198
BNX,BinaryX,149.4011303545838540
GUSD,Gemini Dollar,0.9988280593811273
DFI,DeFiChain,0.5870285501330909
